plate,rodent_uid,blood_sample,blood_sample_id,450,630,450-630,Result,,
1,NA,,neg,0.064,0.05,0.014,NA,0.182,
1,NA,,neg,0.132,0.082,0.05,NA,0.182,
1,1_LAL_001,TRUE,1,0.28,0.111,0.169,0.928571429,0.956043956,equivocal
1,1_LAL_002,TRUE,2,0.217,0.132,0.085,0.467032967,0.516483516,negative
1,1_LAL_003,TRUE,3,0.107,0.068,0.039,0.214285714,0.192307692,negative
1,1_LAL_004,TRUE,4,0.229,0.11,0.119,0.653846154,0.648351648,negative
1,1_LAL_005,TRUE,5,0.14,0.103,0.037,0.203296703,0.17032967,negative
1,1_LAL_006,TRUE,6,0.197,0.168,0.029,0.159340659,0.104395604,negative
1,1_LAL_007,TRUE,7,0.054,0.034,0.02,0.10989011,0.131868132,negative
1,1_LAL_008,TRUE,8,0.104,0.084,0.02,0.10989011,0.142857143,negative
1,1_LAL_009,TRUE,9,0.216,0.111,0.105,0.576923077,0.582417582,negative
1,1_LAL_010,TRUE,10,0.22,0.131,0.089,0.489010989,0.554945055,negative
1,1_LAL_011,TRUE,11,0.114,0.146,-0.032,-0.175824176,0,negative
1,1_LAL_012,TRUE,12,0.16,0.105,0.055,0.302197802,0.269230769,negative
1,1_LAL_013,TRUE,13,0.158,0.114,0.044,0.241758242,0.197802198,negative
1,NA,,pos,0.767,0.166,0.601,3.302197802,3.302197802,positive
2,NA,,neg,0.072,0.05,0.022,0.1835,,
2,NA,,neg,0.127,0.082,0.045,,,
2,NA,,pos,1.41,0.115,1.295,7.057220708,,positive
2,1_LAL_014,TRUE,14,0.203,0.127,0.076,0.414168937,,negative
2,1_LAL_015,TRUE,15,0.117,0.116,0.001,0.005449591,,negative
2,1_LAL_016,TRUE,16,0.146,0.118,0.028,0.152588556,,negative
2,1_LAL_017,FALSE,17,0.464,0.283,0.181,0.986376022,,equivocal
2,1_LAL_018,TRUE,18,0.307,0.226,0.081,0.441416894,,negative
2,1_LAL_019,TRUE,19,0.094,0.034,0.06,0.326975477,,negative
2,1_LAL_020,FALSE,20,0.138,0.075,0.063,0.343324251,,negative
2,1_LAL_021,FALSE,21,0.25,0.145,0.105,0.572207084,,negative
2,1_LAL_022,TRUE,22,0.156,0.147,0.009,0.049046322,,negative
2,2_LAL_001,FALSE,23,0.113,0.095,0.018,0.098092643,,negative
2,2_LAL_002,FALSE,24,0.142,0.125,0.017,0.092643052,,negative
2,2_LAL_003,TRUE,25,0.125,0.145,-0.02,-0.108991826,,negative
2,2_LAL_004,FALSE,26,0.262,0.211,0.051,0.277929155,,negative
2,2_LAL_005,TRUE,27,0.061,0.022,0.039,0.21253406,,negative
2,2_LAL_006,FALSE,28,0.11,0.086,0.024,0.130790191,,negative
2,2_LAL_007,FALSE,29,0.119,0.083,0.036,0.196185286,,negative
2,2_LAL_008,TRUE,30,0.174,0.155,0.019,0.103542234,,negative
2,2_LAL_009,TRUE,31,0.069,0.05,0.019,0.103542234,,negative
2,2_LAL_010,TRUE,32,0.112,0.1,0.012,0.065395095,,negative
2,2_LAL_011,TRUE,33,0.105,0.085,0.02,0.108991826,,negative
2,2_LAL_012,TRUE,34,0.335,0.253,0.082,0.446866485,,negative
2,2_LAL_013,TRUE,35,0.05,0.023,0.027,0.147138965,,negative
2,2_LAL_014,TRUE,36,0.069,0.051,0.018,0.098092643,,negative
2,2_LAL_015,TRUE,37,0.102,0.086,0.016,0.08719346,,negative
2,2_LAL_016,TRUE,38,0.135,0.106,0.029,0.158038147,,negative
2,3_LAL_001,TRUE,39,0.208,0.068,0.14,0.762942779,,negative
2,3_LAL_002,TRUE,40,0.132,0.101,0.031,0.16893733,,negative
2,3_LAL_003,TRUE,41,0.203,0.074,0.129,0.702997275,,negative
2,3_LAL_004,TRUE,42,0.196,0.137,0.059,0.321525886,,negative
3,NA,,neg,0.087,0.05,0.037,0.203666667,,
3,NA,,neg,0.17,0.111,0.059,,,
3,NA,,neg,0.196,0.131,0.065,,,
3,NA,,pos,2.412,0.176,2.236,10.9787234,,positive
3,3_LAL_005,TRUE,43,0.167,0.101,0.066,0.32405892,,negative
3,3_LAL_006,TRUE,44,0.163,0.121,0.042,0.206219313,,negative
3,3_LAL_007,TRUE,45,1.705,0.134,1.571,7.713584288,,positive
3,3_LAL_008,TRUE,46,0.347,0.207,0.14,0.687397709,,negative
3,3_LAL_009,TRUE,47,0.09,0.025,0.065,0.319148936,,negative
3,3_LAL_010,TRUE,48,0.129,0.087,0.042,0.206219313,,negative
3,3_LAL_011,TRUE,49,0.213,0.129,0.084,0.412438625,,negative
3,3_LAL_012,TRUE,50,0.192,0.133,0.059,0.289689034,,negative
3,3_LAL_013,TRUE,51,0.178,0.069,0.109,0.535188216,,negative
3,4_LAL_001,TRUE,52,0.145,0.108,0.037,0.181669394,,negative
3,4_LAL_002,FALSE,53,0.374,0.109,0.265,1.301145663,,positive
3,4_LAL_003,TRUE,54,0.218,0.161,0.057,0.279869067,,negative
3,4_LAL_004,TRUE,55,0.09,0.027,0.063,0.309328969,,negative
3,4_LAL_005,TRUE,56,0.137,0.091,0.046,0.225859247,,negative
3,4_LAL_006,FALSE,57,0.165,0.11,0.055,0.2700491,,negative
3,4_LAL_007,TRUE,58,0.182,0.133,0.049,0.240589198,,negative
3,4_LAL_008,TRUE,59,0.146,0.076,0.07,0.343698854,,negative
3,4_LAL_009,TRUE,60,0.154,0.111,0.043,0.211129296,,negative
3,4_LAL_010,TRUE,61,0.134,0.084,0.05,0.245499182,,negative
3,4_LAL_011,TRUE,62,1.134,0.188,0.946,4.644844517,,positive
3,4_LAL_012,TRUE,63,0.075,0.026,0.049,0.240589198,,negative
3,4_LAL_013,TRUE,64,0.1,0.047,0.053,0.260229133,,negative
3,4_LAL_014,TRUE,65,0.348,0.094,0.254,1.247135843,,positive
3,4_LAL_015,TRUE,66,0.168,0.12,0.048,0.235679214,,negative
3,4_LAL_016,TRUE,67,0.141,0.069,0.072,0.353518822,,negative
3,4_LAL_017,TRUE,68,0.138,0.094,0.044,0.21603928,,negative
3,4_LAL_018,TRUE,69,0.137,0.093,0.044,0.21603928,,negative
3,4_LAL_019,TRUE,70,0.208,0.146,0.062,0.304418985,,negative
3,4_LAL_020,TRUE,71,0.079,0.026,0.053,0.260229133,,negative
3,4_LAL_021,TRUE,72,0.116,0.064,0.052,0.255319149,,negative
3,4_LAL_022,TRUE,73,0.141,0.086,0.055,0.2700491,,negative
3,4_LAL_023,TRUE,74,0.158,0.108,0.05,0.245499182,,negative
3,4_LAL_024,TRUE,75,0.102,0.048,0.054,0.265139116,,negative
3,4_LAL_025,TRUE,76,0.122,0.072,0.05,0.245499182,,negative
3,4_LAL_026,TRUE,77,0.161,0.083,0.078,0.382978723,,negative
3,4_LAL_027,TRUE,78,0.181,0.134,0.047,0.230769231,,negative
3,4_LAL_028,TRUE,79,0.086,0.023,0.063,0.309328969,,negative
3,5_LAL_001,TRUE,80,0.104,0.054,0.05,0.245499182,,negative
3,5_LAL_002,TRUE,81,0.146,0.078,0.068,0.333878887,,negative
3,5_LAL_003,TRUE,82,0.152,0.087,0.065,0.319148936,,negative
3,5_LAL_004,TRUE,83,0.107,0.048,0.059,0.289689034,,negative
3,5_LAL_005,TRUE,84,0.147,0.07,0.077,0.37806874,,negative
3,5_LAL_006,TRUE,85,0.146,0.062,0.084,0.412438625,,negative
3,5_LAL_007,TRUE,86,0.185,0.126,0.059,0.289689034,,negative
4,NA,,neg,0.056,0.05,0.006,0.171,,
4,NA,,neg,0.116,0.085,0.031,,,
4,NA,,neg,0.155,0.129,0.026,,,
4,NA,,pos,0.938,0.13,0.808,4.725146199,,positive
4,5_LAL_008,TRUE,87,0.124,0.09,0.034,0.198830409,,negative
4,5_LAL_009,TRUE,88,0.155,0.126,0.029,0.169590643,,negative
4,5_LAL_010,TRUE,89,0.239,0.099,0.14,0.81871345,,negative
4,5_LAL_011,TRUE,90,0.384,0.187,0.197,1.152046784,,positive
4,5_LAL_012,TRUE,91,0.186,0.027,0.159,0.929824561,,equivocal
4,5_LAL_013,TRUE,92,0.148,0.076,0.072,0.421052632,,negative
4,5_LAL_014,TRUE,93,0.32,0.123,0.197,1.152046784,,positive
4,5_LAL_015,TRUE,94,0.318,0.241,0.077,0.450292398,,negative
4,6_LAL_001,TRUE,95,1.21,0.09,1.12,6.549707602,,positive
4,6_LAL_002,TRUE,96,0.209,0.12,0.089,0.520467836,,negative
4,6_LAL_003,TRUE,97,0.144,0.114,0.03,0.175438596,,negative
4,6_LAL_004,TRUE,98,0.218,0.201,0.017,0.099415205,,negative
4,6_LAL_005,TRUE,99,0.076,0.016,0.06,0.350877193,,negative
4,6_LAL_006,TRUE,100,0.218,0.082,0.136,0.795321637,,negative
4,6_LAL_007,TRUE,101,0.147,0.117,0.03,0.175438596,,negative
4,6_LAL_008,TRUE,102,0.161,0.123,0.038,0.222222222,,negative
4,6_LAL_009,TRUE,103,0.619,0.072,0.547,3.198830409,,positive
4,6_LAL_010,TRUE,104,0.228,0.11,0.118,0.69005848,,negative
4,6_LAL_011,TRUE,105,0.473,0.099,0.374,2.187134503,,positive
4,6_LAL_012,TRUE,106,0.206,0.184,0.022,0.128654971,,negative
